#w   DOS(w)
-4.24535   0.225621
-4.23535   0.227316
-4.22535   0.229035
-4.21535   0.230779
-4.20535   0.232549
-4.19535   0.234345
-4.18535   0.236168
-4.17535   0.238019
-4.16535   0.239897
-4.15535   0.241805
-4.14535   0.243742
-4.13535   0.24571
-4.12535   0.247709
-4.11535   0.24974
-4.10535   0.251805
-4.09535   0.253903
-4.08535   0.256036
-4.07535   0.258206
-4.06535   0.260412
-4.05535   0.262656
-4.04535   0.26494
-4.03535   0.267264
-4.02535   0.26963
-4.01535   0.272039
-4.00535   0.274493
-3.99535   0.276992
-3.98535   0.279539
-3.97535   0.282134
-3.96535   0.28478
-3.95535   0.287479
-3.94535   0.290232
-3.93535   0.293041
-3.92535   0.295908
-3.91535   0.298835
-3.90535   0.301825
-3.89535   0.30488
-3.88535   0.308002
-3.87535   0.311195
-3.86535   0.31446
-3.85535   0.317802
-3.84535   0.321223
-3.83535   0.324727
-3.82535   0.328317
-3.81535   0.331997
-3.80535   0.335772
-3.79535   0.339645
-3.78535   0.343622
-3.77535   0.347707
-3.76535   0.351906
-3.75535   0.356224
-3.74535   0.360669
-3.73535   0.365246
-3.72535   0.369963
-3.71535   0.374828
-3.70535   0.37985
-3.69535   0.385037
-3.68535   0.3904
-3.67535   0.395949
-3.66535   0.401698
-3.65535   0.407658
-3.64535   0.413844
-3.63535   0.420272
-3.62535   0.42696
-3.61535   0.433926
-3.60535   0.441193
-3.59535   0.448784
-3.58535   0.456726
-3.57535   0.465048
-3.56535   0.473784
-3.55535   0.482972
-3.54535   0.492655
-3.53535   0.502881
-3.52535   0.513707
-3.51535   0.525196
-3.50535   0.537422
-3.49535   0.550472
-3.48535   0.564445
-3.47535   0.579461
-3.46535   0.59566
-3.45535   0.613209
-3.44535   0.632311
-3.43535   0.653213
-3.42535   0.676218
-3.41535   0.701705
-3.40535   0.730151
-3.39535   0.762169
-3.38535   0.798557
-3.37535   0.840377
-3.36535   0.889075
-3.35535   0.946672
-3.34535   1.01608
-3.33535   1.10168
-3.32535   1.21033
-3.31535   1.35343
-3.30535   1.55145
-3.29535   1.84476
-3.28535   2.32436
-3.27535   3.23881
-3.26535   5.5048
-3.25535   14.854
-3.24535   66.3832
-3.23535   16.6272
-3.22535   10.7342
-3.21535   23.6583
